...1,Subject.ID,grade,classroom,class,relig,Question,Category,Sequence,Response,Gender,egoID,Attitudes_BadMarks,Attitudes_Boys,Attitudes_Girls,Attitudes_GoodMarks,Attitudes_Hindus,Attitudes_Muslims,Attitudes_MyCaste,Attitudes_MyLang,Attitudes_OtherCaste,Attitudes_OtherLang,Attitudes_Poor,Attitudes_Rich,CasteForced_CasteForced,CasteOpen_CasteOpen,Gender_Gender,Identification_Caste,Identification_Gender,Identification_Language,Identification_Marks,Identification_Religion,Identification_School,Language_Language,ReligFreq_Celebrate,ReligFreq_Pray,ReligFreq_Read,ReligFreq_ReligiousPlace,Religion_Religion,Religiosity_Religiosity,ResourceAlloc_Friend,ResourceAlloc_Krishna,ResourceAlloc_Mohammed,SchoolHarmony_BoyGirl,SchoolHarmony_HinduMuslim,SchoolHarmony_InterCaste,SchoolHarmony_People,SchoolHarmony_RichPoor,Wellbeing_EnoughFriends,Wellbeing_Happy,Wellbeing_Lonely,Wellbeing_OthersMean,altGender,altRelig,altIDcaste,altIDgend,altIDlang,altIDmarks,altIDrelig,altIDschool,altReligCelebrate,altReligPray,altReligRead,altReligPlace,altReligiosity,altResourceFriend,altResourceHindu,altResourceMuslim,altHarmGender,altHarmRelig,altHarmCaste,altHarmPeople,altHarmSES,allWellFriends,altWellHappy,altWellLonely,altWellOthersMean,altAttBoys,altAttGirls,altAttHindu,altAttMuslim,ownGender,ownRelig,classID
7168,B0940,9,B,9B,other,Friends,Friend4,1,14,M,40,4,NA,1,6,NA,7,NA,5,5,4,NA,7,6,NA,1,1,1,1,1,1,1,1,3,1,1,3,NA,NA,4,4,4,3,5,5,2,1,3,4,2,1,M,Muslim,1,1,2,NA,1,3,4,1,1,1,1,4,2,4,1,3,1,3,1,2,1,5,1,6,6,NA,7,1,0,B9
7169,B0940,9,B,9B,other,Friends,Friend5,1,18,M,40,4,NA,1,6,NA,7,NA,5,5,4,NA,7,6,NA,1,1,1,1,1,1,1,1,3,1,1,3,NA,NA,4,4,4,3,5,5,2,1,3,4,2,1,M,Muslim,1,3,3,3,1,3,4,1,1,1,1,4,4,4,1,2,1,3,2,5,1,5,3,4,4,4,1,1,0,B9
7170,B0940,9,B,9B,other,Friends,Friend6,1,35,M,40,4,NA,1,6,NA,7,NA,5,5,4,NA,7,6,NA,1,1,1,1,1,1,1,1,3,1,1,3,NA,NA,4,4,4,3,5,5,2,1,3,4,2,1,M,Muslim,1,1,1,1,1,1,3,1,1,1,1,4,4,5,1,1,1,1,1,1,1,1,1,6,6,6,7,1,0,B9
7171,B0940,9,B,9B,other,Friends,Friend7,1,43,M,40,4,NA,1,6,NA,7,NA,5,5,4,NA,7,6,NA,1,1,1,1,1,1,1,1,3,1,1,3,NA,NA,4,4,4,3,5,5,2,1,3,4,2,1,M,Hindu,2,1,2,2,2,1,1,2,5,2,2,4,4,4,1,1,1,2,1,1,1,5,2,7,7,1,6,1,0,B9
7172,B0942,9,B,9B,Muslim,Friends,Friend1,1,2,M,42,4,7,7,5,6,7,7,7,7,6,7,4,7,Jamati,1,1,1,3,1,1,1,2,4,1,1,1,2,2,4,4,4,1,1,1,1,2,1,1,5,3,M,Muslim,1,1,1,2,1,3,4,1,1,1,1,4,4,4,1,1,1,3,3,2,1,5,1,7,7,7,7,1,1,B9
7173,B0942,9,B,9B,Muslim,Friends,Friend2,1,13,M,42,4,7,7,5,6,7,7,7,7,6,7,4,7,Jamati,1,1,1,3,1,1,1,2,4,1,1,1,2,2,4,4,4,1,1,1,1,2,1,1,5,3,M,Muslim,1,1,1,1,1,2,3,1,1,2,1,4,4,4,1,1,1,3,1,1,1,3,2,7,6,5,7,1,1,B9
7174,B0942,9,B,9B,Muslim,Friends,Friend3,1,29,M,42,4,7,7,5,6,7,7,7,7,6,7,4,7,Jamati,1,1,1,3,1,1,1,2,4,1,1,1,2,2,4,4,4,1,1,1,1,2,1,1,5,3,M,Muslim,1,1,3,1,1,1,1,1,1,1,1,4,4,4,1,1,1,1,1,1,1,5,5,6,6,6,7,1,1,B9
7175,B0942,9,B,9B,Muslim,Friends,Friend4,1,36,M,42,4,7,7,5,6,7,7,7,7,6,7,4,7,Jamati,1,1,1,3,1,1,1,2,4,1,1,1,2,2,4,4,4,1,1,1,1,2,1,1,5,3,M,Muslim,2,2,3,3,1,3,3,1,1,2,1,3,3,4,1,1,1,3,1,1,2,3,3,7,4,3,7,1,1,B9
7176,B0942,9,B,9B,Muslim,Friends,Friend5,1,41,M,42,4,7,7,5,6,7,7,7,7,6,7,4,7,Jamati,1,1,1,3,1,1,1,2,4,1,1,1,2,2,4,4,4,1,1,1,1,2,1,1,5,3,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,B9
7177,B0943,9,B,9B,Hindu,Friends,Friend1,1,1,M,43,4,7,7,4,1,6,5,5,4,4,4,2,2,NA,1,2,1,2,2,2,1,2,1,2,5,2,1,2,4,4,4,1,1,1,2,1,1,1,5,2,M,Hindu,2,1,3,1,1,2,1,2,5,2,2,5,4,4,1,1,1,2,1,1,2,2,2,7,6,7,3,1,1,B9
7178,B0943,9,B,9B,Hindu,Friends,Friend2,1,15,M,43,4,7,7,4,1,6,5,5,4,4,4,2,2,NA,1,2,1,2,2,2,1,2,1,2,5,2,1,2,4,4,4,1,1,1,2,1,1,1,5,2,M,Hindu,1,1,1,1,1,1,2,1,2,2,2,4,4,3,1,1,1,3,1,1,1,5,2,7,7,7,1,1,1,B9
7179,B0943,9,B,9B,Hindu,Friends,Friend3,1,18,M,43,4,7,7,4,1,6,5,5,4,4,4,2,2,NA,1,2,1,2,2,2,1,2,1,2,5,2,1,2,4,4,4,1,1,1,2,1,1,1,5,2,M,Muslim,1,3,3,3,1,3,4,1,1,1,1,4,4,4,1,2,1,3,2,5,1,5,3,4,4,4,1,1,0,B9
7180,B0943,9,B,9B,Hindu,Friends,Friend4,1,24,M,43,4,7,7,4,1,6,5,5,4,4,4,2,2,NA,1,2,1,2,2,2,1,2,1,2,5,2,1,2,4,4,4,1,1,1,2,1,1,1,5,2,M,Hindu,4,1,1,2,3,2,1,1,2,2,1,4,4,3,1,1,1,1,1,1,1,4,2,6,6,6,2,1,1,B9
7181,B0943,9,B,9B,Hindu,Friends,Friend5,1,30,M,43,4,7,7,4,1,6,5,5,4,4,4,2,2,NA,1,2,1,2,2,2,1,2,1,2,5,2,1,2,4,4,4,1,1,1,2,1,1,1,5,2,M,Muslim,1,1,2,2,1,2,3,1,1,2,2,4,4,4,2,2,1,3,1,2,1,3,3,4,4,4,5,1,0,B9
7182,B0943,9,B,9B,Hindu,Friends,Friend6,1,33,M,43,4,7,7,4,1,6,5,5,4,4,4,2,2,NA,1,2,1,2,2,2,1,2,1,2,5,2,1,2,4,4,4,1,1,1,2,1,1,1,5,2,M,Hindu,2,2,2,1,2,1,3,2,5,2,3,4,4,4,2,1,1,4,1,3,1,3,2,6,6,6,6,1,1,B9
7183,B0943,9,B,9B,Hindu,Friends,Friend7,1,38,M,43,4,7,7,4,1,6,5,5,4,4,4,2,2,NA,1,2,1,2,2,2,1,2,1,2,5,2,1,2,4,4,4,1,1,1,2,1,1,1,5,2,M,Hindu,1,1,1,1,1,1,2,1,2,2,2,4,4,4,1,1,1,3,1,1,1,5,2,7,7,7,5,1,1,B9
7184,B0944,9,B,9B,Hindu,Friends,Friend1,1,10,M,44,5,6,7,7,7,7,6,6,5,5,6,1,1,NA,1,NA,2,NA,1,NA,1,4,3,1,4,2,1,3,4,4,4,1,1,1,3,2,2,1,5,3,M,Hindu,3,1,1,4,2,1,3,1,4,2,2,6,4,3,1,1,2,2,1,1,1,5,2,6,7,7,5,1,1,B9
7185,B0944,9,B,9B,Hindu,Friends,Friend2,1,12,M,44,5,6,7,7,7,7,6,6,5,5,6,1,1,NA,1,NA,2,NA,1,NA,1,4,3,1,4,2,1,3,4,4,4,1,1,1,3,2,2,1,5,3,M,Hindu,4,4,3,5,4,3,3,1,5,3,2,4,4,4,1,1,1,4,1,1,1,5,2,6,7,6,6,1,1,B9
7186,B0944,9,B,9B,Hindu,Friends,Friend3,1,20,M,44,5,6,7,7,7,7,6,6,5,5,6,1,1,NA,1,NA,2,NA,1,NA,1,4,3,1,4,2,1,3,4,4,4,1,1,1,3,2,2,1,5,3,M,Muslim,1,1,3,1,1,1,1,1,1,1,1,4,4,4,1,1,1,1,1,1,1,5,5,7,6,6,7,1,0,B9
7187,B0944,9,B,9B,Hindu,Friends,Friend4,1,23,M,44,5,6,7,7,7,7,6,6,5,5,6,1,1,NA,1,NA,2,NA,1,NA,1,4,3,1,4,2,1,3,4,4,4,1,1,1,3,2,2,1,5,3,M,Muslim,4,2,3,3,2,1,2,2,1,2,2,3,2,2,1,1,1,3,1,1,1,4,3,6,5,6,6,1,0,B9
7188,B0944,9,B,9B,Hindu,Friends,Friend5,1,49,M,44,5,6,7,7,7,7,6,6,5,5,6,1,1,NA,1,NA,2,NA,1,NA,1,4,3,1,4,2,1,3,4,4,4,1,1,1,3,2,2,1,5,3,F,Hindu,1,1,1,1,1,1,4,1,1,2,1,4,4,4,1,1,1,1,1,1,1,5,3,6,6,7,6,0,1,B9
7189,B0944,9,B,9B,Hindu,Friends,Friend6,1,58,M,44,5,6,7,7,7,7,6,6,5,5,6,1,1,NA,1,NA,2,NA,1,NA,1,4,3,1,4,2,1,3,4,4,4,1,1,1,3,2,2,1,5,3,F,Hindu,4,2,3,1,3,2,4,5,5,5,4,7,4,4,1,1,1,2,1,1,1,5,2,6,7,7,6,0,1,B9
7190,B0944,9,B,9B,Hindu,Friends,Friend7,1,62,M,44,5,6,7,7,7,7,6,6,5,5,6,1,1,NA,1,NA,2,NA,1,NA,1,4,3,1,4,2,1,3,4,4,4,1,1,1,3,2,2,1,5,3,F,Hindu,1,1,1,1,1,1,3,2,5,3,1,4,5,4,1,1,1,1,1,1,1,5,3,6,6,7,6,0,1,B9
7191,B0945,9,B,9B,Hindu,Friends,Friend1,1,49,F,45,6,6,7,6,7,6,7,7,7,7,6,6,7,SINDHI,2,1,1,1,2,1,1,4,4,1,5,3,1,2,4,4,4,1,1,1,1,1,1,1,2,3,F,Hindu,1,1,1,1,1,1,4,1,1,2,1,4,4,4,1,1,1,1,1,1,1,5,3,6,6,7,6,1,1,B9
