...1,Subject.ID,grade,classroom,class,relig,Question,Category,Sequence,Response,Gender,egoID,Attitudes_BadMarks,Attitudes_Boys,Attitudes_Girls,Attitudes_GoodMarks,Attitudes_Hindus,Attitudes_Muslims,Attitudes_MyCaste,Attitudes_MyLang,Attitudes_OtherCaste,Attitudes_OtherLang,Attitudes_Poor,Attitudes_Rich,CasteForced_CasteForced,CasteOpen_CasteOpen,Gender_Gender,Identification_Caste,Identification_Gender,Identification_Language,Identification_Marks,Identification_Religion,Identification_School,Language_Language,ReligFreq_Celebrate,ReligFreq_Pray,ReligFreq_Read,ReligFreq_ReligiousPlace,Religion_Religion,Religiosity_Religiosity,ResourceAlloc_Friend,ResourceAlloc_Krishna,ResourceAlloc_Mohammed,SchoolHarmony_BoyGirl,SchoolHarmony_HinduMuslim,SchoolHarmony_InterCaste,SchoolHarmony_People,SchoolHarmony_RichPoor,Wellbeing_EnoughFriends,Wellbeing_Happy,Wellbeing_Lonely,Wellbeing_OthersMean,altGender,altRelig,altIDcaste,altIDgend,altIDlang,altIDmarks,altIDrelig,altIDschool,altReligCelebrate,altReligPray,altReligRead,altReligPlace,altReligiosity,altResourceFriend,altResourceHindu,altResourceMuslim,altHarmGender,altHarmRelig,altHarmCaste,altHarmPeople,altHarmSES,allWellFriends,altWellHappy,altWellLonely,altWellOthersMean,altAttBoys,altAttGirls,altAttHindu,altAttMuslim,ownGender,ownRelig,classID
860,A0662,6,A,6A,Hindu,Enemies,Enemy3,2,41,F,62,2,2,6,5,7,5,7,7,4,5,4,2,1,NA,2,1,1,1,1,2,1,2,2,1,3,3,1,1,4,3,3,3,1,1,3,1,1,1,2,3,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,A6
861,A0662,6,A,6A,Hindu,Enemies,Enemy4,2,44,F,62,2,2,6,5,7,5,7,7,4,5,4,2,1,NA,2,1,1,1,1,2,1,2,2,1,3,3,1,1,4,3,3,3,1,1,3,1,1,1,2,3,F,Hindu,1,1,4,1,1,1,3,1,4,2,1,4,4,3,5,1,1,1,1,1,1,1,5,1,7,7,7,1,1,A6
862,A0662,6,A,6A,Hindu,Enemies,Enemy5,2,47,F,62,2,2,6,5,7,5,7,7,4,5,4,2,1,NA,2,1,1,1,1,2,1,2,2,1,3,3,1,1,4,3,3,3,1,1,3,1,1,1,2,3,F,Hindu,1,1,1,1,1,1,3,1,4,3,1,4,4,3,1,1,2,1,1,1,1,5,1,7,7,7,1,1,1,A6
863,A0662,6,A,6A,Hindu,Enemies,Enemy6,2,53,F,62,2,2,6,5,7,5,7,7,4,5,4,2,1,NA,2,1,1,1,1,2,1,2,2,1,3,3,1,1,4,3,3,3,1,1,3,1,1,1,2,3,F,Muslim,1,2,1,1,2,2,3,1,1,1,2,4,3,3,3,1,2,1,3,1,1,1,5,3,6,5,7,1,0,A6
864,B0601,6,B,6B,Muslim,Enemies,Enemy1,2,53,M,1,4,7,4,4,5,7,7,4,4,4,4,4,7,NA,1,1,1,1,1,1,1,1,5,1,1,1,2,1,3,3,3,3,3,1,1,2,3,3,4,4,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,B6
865,B0602,6,B,6B,Hindu,Enemies,Enemy1,2,1,M,2,1,7,4,7,3,1,3,6,3,3,3,1,2,NA,1,3,1,2,1,2,1,4,4,4,5,2,NA,1,7,7,1,2,1,1,2,1,1,1,2,5,M,Muslim,1,1,1,1,1,1,5,1,1,1,1,3,3,3,3,3,1,1,2,3,3,4,4,7,4,5,7,1,0,B6
866,B0602,6,B,6B,Hindu,Enemies,Enemy2,2,26,M,2,1,7,4,7,3,1,3,6,3,3,3,1,2,NA,1,3,1,2,1,2,1,4,4,4,5,2,NA,1,7,7,1,2,1,1,2,1,1,1,2,5,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,B6
867,B0602,6,B,6B,Hindu,Enemies,Enemy3,2,27,M,2,1,7,4,7,3,1,3,6,3,3,3,1,2,NA,1,3,1,2,1,2,1,4,4,4,5,2,NA,1,7,7,1,2,1,1,2,1,1,1,2,5,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,B6
868,B0603,6,B,6B,Hindu,Enemies,Enemy1,2,1,M,3,7,5,2,NA,7,1,6,4,2,3,5,6,2,NA,1,1,3,2,3,1,2,1,3,4,2,2,1,1,3,3,2,1,2,3,2,1,1,1,3,2,M,Muslim,1,1,1,1,1,1,5,1,1,1,1,3,3,3,3,3,1,1,2,3,3,4,4,7,4,5,7,1,0,B6
869,B0603,6,B,6B,Hindu,Enemies,Enemy2,2,5,M,3,7,5,2,NA,7,1,6,4,2,3,5,6,2,NA,1,1,3,2,3,1,2,1,3,4,2,2,1,1,3,3,2,1,2,3,2,1,1,1,3,2,M,Muslim,1,4,1,1,1,3,4,2,1,3,1,4,3,4,2,1,1,2,1,5,2,5,1,NA,2,3,7,1,0,B6
