...1,Subject.ID,grade,classroom,class,relig,Question,Category,Sequence,Response,Gender,egoID,Attitudes_BadMarks,Attitudes_Boys,Attitudes_Girls,Attitudes_GoodMarks,Attitudes_Hindus,Attitudes_Muslims,Attitudes_MyCaste,Attitudes_MyLang,Attitudes_OtherCaste,Attitudes_OtherLang,Attitudes_Poor,Attitudes_Rich,CasteForced_CasteForced,CasteOpen_CasteOpen,Gender_Gender,Identification_Caste,Identification_Gender,Identification_Language,Identification_Marks,Identification_Religion,Identification_School,Language_Language,ReligFreq_Celebrate,ReligFreq_Pray,ReligFreq_Read,ReligFreq_ReligiousPlace,Religion_Religion,Religiosity_Religiosity,ResourceAlloc_Friend,ResourceAlloc_Krishna,ResourceAlloc_Mohammed,SchoolHarmony_BoyGirl,SchoolHarmony_HinduMuslim,SchoolHarmony_InterCaste,SchoolHarmony_People,SchoolHarmony_RichPoor,Wellbeing_EnoughFriends,Wellbeing_Happy,Wellbeing_Lonely,Wellbeing_OthersMean,altGender,altRelig,altIDcaste,altIDgend,altIDlang,altIDmarks,altIDrelig,altIDschool,altReligCelebrate,altReligPray,altReligRead,altReligPlace,altReligiosity,altResourceFriend,altResourceHindu,altResourceMuslim,altHarmGender,altHarmRelig,altHarmCaste,altHarmPeople,altHarmSES,allWellFriends,altWellHappy,altWellLonely,altWellOthersMean,altAttBoys,altAttGirls,altAttHindu,altAttMuslim,ownGender,ownRelig,classID,ID2017,class.2017,class.2016,DOB.2017,DOB.2016,testdate,ageinyears
2780,B0529,5,B,5B,other,Friends,Friend1,1,3,M,29,7,7,1,7,4,7,7,7,7,7,4,4,7,SUNNI,1,1,1,1,1,1,1,2,1,1,1,1,NA,2,4,4,4,1,1,1,1,1,1,1,5,5,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,B5,Z06C28,6C,5B,3/10/2005,NA,1/14/2016,10.85479452
2787,B0530,5,B,5B,Muslim,Friends,Friend1,1,1,M,30,4,7,1,5,7,6,6,6,7,6,7,1,7,SUNNI,1,2,1,3,2,2,1,3,3,1,2,2,2,3,7,7,7,2,1,1,1,1,1,1,5,3,M,Hindu,5,5,4,3,5,2,4,5,5,4,4,6,4,4,1,1,1,2,1,1,1,5,3,7,6,6,6,1,0,B5,Z06C29,6C,5B,8/22/2004,NA,1/14/2016,11.40273973
2794,B0531,5,B,5B,Muslim,Friends,Friend1,1,6,M,31,4,7,2,6,4,7,7,6,5,4,6,2,7,SUNNI,1,1,2,2,1,1,1,2,3,1,1,1,2,1,4,3,4,2,2,1,1,1,1,2,4,3,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,B5,Z06C30,6C,5B,4/5/2005,5/5/2005,1/14/2016,10.78356164
2801,B0532,5,B,5B,Hindu,Friends,Friend1,1,3,M,32,1,7,1,7,7,5,7,1,7,1,7,1,8,NA,1,1,1,1,1,1,1,1,4,1,5,3,1,1,4,4,4,1,1,1,1,3,1,1,5,1,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,B5,Z06C31,6C,5B,9/16/2005,9/16/2005,1/14/2016,10.33424658
2810,B0533,5,B,5B,Hindu,Friends,Friend1,1,23,M,33,1,7,1,7,7,1,7,1,1,6,4,6,8,NA,1,1,5,1,1,1,1,2,2,1,2,1,1,1,6,4,5,1,5,4,1,2,5,3,1,3,M,Muslim,1,2,3,1,1,1,4,1,1,1,1,4,4,4,3,1,1,2,1,4,2,5,2,5,5,5,7,1,0,B5,NA,NA,5B,NA,11/1/2005,1/14/2016,10.20821918
2813,B0534,5,B,5B,other,Friends,Friend1,1,2,M,34,4,7,5,7,6,4,7,7,4,6,7,2,8,NA,1,1,1,2,2,1,1,2,4,2,4,2,NA,1,4,3,5,2,1,1,1,1,1,1,5,3,M,Muslim,1,1,1,1,1,1,1,2,1,2,1,5,4,4,1,1,1,1,1,1,1,1,5,7,4,5,7,1,0,B5,Z06C32,6C,5B,5/26/2006,5/26/2006,1/14/2016,9.643835616
2819,B0535,5,B,5B,Hindu,Friends,Friend1,1,12,M,35,6,7,7,6,7,5,7,7,6,6,7,1,1,NA,1,1,1,1,1,1,1,1,4,1,4,4,1,1,4,4,4,1,1,1,1,1,1,1,5,3,M,Hindu,1,1,2,1,1,1,4,1,5,2,1,4,4,1,2,1,1,1,1,1,1,5,1,7,1,7,1,1,1,B5,Z06C33,6C,5B,10/1/2004,10/1/2004,1/14/2016,11.29315068
2826,B0536,5,B,5B,Muslim,Friends,Friend1,1,4,M,36,2,7,1,7,4,4,7,7,2,2,5,6,7,ALVI VOHRA,1,1,1,1,1,1,1,1,1,1,1,1,2,1,4,3,4,1,3,1,1,1,2,1,4,2,M,Muslim,1,1,2,1,1,1,3,1,1,1,1,4,2,4,1,1,1,2,2,1,1,5,5,6,6,6,7,1,1,B5,Z06C34,6C,5B,3/12/2005,3/12/2005,1/14/2016,10.84931507
2834,B0537,5,B,5B,Muslim,Friends,Friend1,1,2,M,37,2,7,6,3,3,7,7,4,3,2,6,4,7,ALVI VOHRA,1,1,2,1,2,1,2,1,4,1,1,1,2,1,4,3,4,1,1,1,1,1,1,1,3,1,M,Muslim,1,1,1,1,1,1,1,2,1,2,1,5,4,4,1,1,1,1,1,1,1,1,5,7,4,5,7,1,1,B5,Z06C35,6C,5B,9/4/2005,9/4/2005,1/14/2016,10.36712329
2842,B0538,5,B,5B,other,Friends,Friend1,1,15,F,38,1,5,7,7,1,7,7,6,3,6,4,3,7,DOVADI VOHRA,2,1,3,1,2,3,1,1,3,1,1,2,NA,1,3,2,2,4,1,1,2,2,1,1,5,3,M,Muslim,1,1,1,1,1,1,4,1,1,1,1,4,1,1,1,1,1,1,1,5,1,5,3,7,6,1,4,0,0,B5,Z06C36,6C,5B,6/21/2006,NA,1/14/2016,9.57260274
