...1,Subject.ID,grade,classroom,class,relig,Question,Category,Sequence,Response,Gender,egoID,Attitudes_BadMarks,Attitudes_Boys,Attitudes_Girls,Attitudes_GoodMarks,Attitudes_Hindus,Attitudes_Muslims,Attitudes_MyCaste,Attitudes_MyLang,Attitudes_OtherCaste,Attitudes_OtherLang,Attitudes_Poor,Attitudes_Rich,CasteForced_CasteForced,CasteOpen_CasteOpen,Gender_Gender,Identification_Caste,Identification_Gender,Identification_Language,Identification_Marks,Identification_Religion,Identification_School,Language_Language,ReligFreq_Celebrate,ReligFreq_Pray,ReligFreq_Read,ReligFreq_ReligiousPlace,Religion_Religion,Religiosity_Religiosity,ResourceAlloc_Friend,ResourceAlloc_Krishna,ResourceAlloc_Mohammed,SchoolHarmony_BoyGirl,SchoolHarmony_HinduMuslim,SchoolHarmony_InterCaste,SchoolHarmony_People,SchoolHarmony_RichPoor,Wellbeing_EnoughFriends,Wellbeing_Happy,Wellbeing_Lonely,Wellbeing_OthersMean,altGender,altRelig,altIDcaste,altIDgend,altIDlang,altIDmarks,altIDrelig,altIDschool,altReligCelebrate,altReligPray,altReligRead,altReligPlace,altReligiosity,altResourceFriend,altResourceHindu,altResourceMuslim,altHarmGender,altHarmRelig,altHarmCaste,altHarmPeople,altHarmSES,allWellFriends,altWellHappy,altWellLonely,altWellOthersMean,altAttBoys,altAttGirls,altAttHindu,altAttMuslim,ownGender,ownRelig,classID,ID2017,class.2017,class.2016,DOB.2017,DOB.2016,testdate,ageinyears
1,A0302,3,A,3A,Muslim,Friends,Friend1,1,5,M,2,NA,7,1,NA,1,7,7,2,1,7,7,2,8,other,1,4,5,1,1,1,4,4,3,1,1,4,2,2,2,3,4,NA,NA,NA,NA,NA,1,1,5,5,M,Muslim,1,3,2,1,1,1,4,1,1,1,1,4,1,7,NA,NA,NA,NA,NA,1,1,3,3,7,1,1,7,1,1,A3,Z04B02,4B,3A,9/5/2007,NA,1/14/2016,8.364383562
8,A0303,3,A,3A,Hindu,Friends,Friend1,1,2,M,3,NA,7,1,NA,7,1,7,6,4,2,7,5,7,brahmin,1,1,2,2,1,3,1,3,3,1,1,2,1,1,7,3,2,NA,NA,NA,NA,NA,4,2,1,5,M,Muslim,4,5,1,1,1,4,3,1,1,4,2,2,3,4,NA,NA,NA,NA,NA,1,1,5,5,7,1,1,7,1,0,A3,Z04B03,4B,3A,5/23/2007,NA,1/14/2016,8.652054795
14,A0304,3,A,3A,Hindu,Friends,Friend1,1,3,M,4,NA,7,6,NA,7,1,7,7,4,6,4,7,8,NA,1,2,2,4,1,1,1,4,4,1,1,5,1,1,3,5,4,NA,NA,NA,NA,NA,1,1,3,3,M,Hindu,1,2,2,1,3,1,3,1,1,2,1,7,3,2,NA,NA,NA,NA,NA,4,2,1,5,7,1,7,1,1,1,A3,Z04B04,4B,3A,7/14/2007,NA,1/14/2016,8.509589041
21,A0305,3,A,3A,Muslim,Friends,Friend1,1,2,M,5,NA,7,1,NA,1,7,7,7,1,4,4,5,7,sanhi vohra,1,1,3,2,1,1,1,2,4,1,1,1,2,1,4,1,7,NA,NA,NA,NA,NA,1,1,3,3,M,Muslim,4,5,1,1,1,4,3,1,1,4,2,2,3,4,NA,NA,NA,NA,NA,1,1,5,5,7,1,1,7,1,1,A3,Z04B05,4B,3A,7/8/2007,NA,1/14/2016,8.526027397
27,A0306,3,A,3A,Hindu,Friends,Friend1,1,1,M,6,NA,7,2,NA,7,2,7,7,5,2,2,5,8,NA,1,1,3,1,2,2,1,4,4,4,5,4,1,1,4,4,3,NA,NA,NA,NA,NA,3,2,4,1,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,A3,Z04B06,4B,3A,5/1/2015,NA,1/14/2016,NA
34,A0307,3,A,3A,Hindu,Friends,Friend1,1,3,M,7,NA,7,3,NA,7,4,7,6,1,7,4,6,2,NA,1,1,2,3,1,1,1,1,4,1,1,1,1,1,2,1,1,NA,NA,NA,NA,NA,2,1,2,4,M,Hindu,1,2,2,1,3,1,3,1,1,2,1,7,3,2,NA,NA,NA,NA,NA,4,2,1,5,7,1,7,1,1,1,A3,Z04B07,4B,3A,9/30/2007,NA,1/14/2016,8.295890411
43,A0308,3,A,3A,Muslim,Friends,Friend1,1,2,M,8,NA,7,1,NA,1,7,3,6,1,2,6,5,7,sunni vohra,1,1,5,3,2,1,2,2,4,1,1,1,2,1,4,1,7,NA,NA,NA,NA,NA,1,3,4,2,M,Muslim,4,5,1,1,1,4,3,1,1,4,2,2,3,4,NA,NA,NA,NA,NA,1,1,5,5,7,1,1,7,1,1,A3,Z04B08,4B,3A,10/12/2007,NA,1/14/2016,8.263013699
49,A0309,3,A,3A,Muslim,Friends,Friend1,1,2,M,9,NA,6,2,NA,1,7,7,6,NA,2,2,1,7,shunni vohra,1,1,2,2,1,1,1,2,4,1,1,1,2,1,4,1,4,NA,NA,NA,NA,NA,5,2,5,4,M,Muslim,4,5,1,1,1,4,3,1,1,4,2,2,3,4,NA,NA,NA,NA,NA,1,1,5,5,7,1,1,7,1,1,A3,Z04B09,4B,3A,7/30/2007,NA,1/14/2016,8.465753425
55,A0310,3,A,3A,Muslim,Friends,Friend1,1,13,M,10,NA,6,7,NA,3,1,1,4,7,5,7,1,7,NA,1,2,1,1,1,1,1,2,2,5,5,5,2,NA,4,1,7,NA,NA,NA,NA,NA,1,5,1,3,M,Muslim,1,5,4,1,1,1,4,4,1,1,1,4,1,1,NA,NA,NA,NA,NA,5,1,5,5,4,4,2,7,1,1,A3,Z04B10,4B,3A,12/1/2007,NA,1/14/2016,8.126027397
58,A0311,3,A,3A,Muslim,Friends,Friend1,1,12,M,11,NA,7,4,NA,1,5,7,5,2,6,7,7,8,NA,1,1,3,2,1,1,1,4,5,4,1,1,2,1,7,6,6,NA,NA,NA,NA,NA,1,4,4,2,M,other,1,5,4,1,2,1,3,NA,NA,1,1,4,4,4,NA,NA,NA,NA,NA,2,2,1,4,3,4,2,7,1,0,A3,Z04B11,4B,3A,3/15/2007,NA,1/14/2016,8.84109589
64,A0312,3,A,3A,other,Friends,Friend1,1,2,M,12,NA,3,4,NA,2,7,7,7,6,2,3,7,7,daw,1,1,5,4,1,2,1,2,3,NA,NA,1,3,1,4,4,4,NA,NA,NA,NA,NA,2,2,1,4,M,Muslim,4,5,1,1,1,4,3,1,1,4,2,2,3,4,NA,NA,NA,NA,NA,1,1,5,5,7,1,1,7,1,0,A3,Z04B12,4B,3A,12/20/2007,NA,1/14/2016,8.073972603
71,A0313,3,A,3A,Muslim,Friends,Friend1,1,10,M,13,NA,4,4,NA,2,7,7,4,4,4,6,4,7,NA,1,1,5,4,1,1,1,NA,4,4,1,1,2,1,4,1,1,NA,NA,NA,NA,NA,5,1,5,5,M,Muslim,2,1,1,1,1,1,2,5,5,5,NA,4,1,7,NA,NA,NA,NA,NA,1,5,1,3,6,7,3,1,1,1,A3,Z04B13,4B,3A,4/15/2008,NA,1/14/2016,7.753424658
74,A0314,3,A,3A,Muslim,Friends,Friend1,1,11,M,14,NA,6,NA,NA,NA,NA,7,7,NA,6,6,6,7,muslim,1,1,3,4,2,1,2,2,2,2,2,1,2,1,4,4,4,NA,NA,NA,NA,NA,NA,2,3,2,M,Muslim,1,3,2,1,1,1,5,4,1,1,1,7,6,6,NA,NA,NA,NA,NA,1,4,4,2,7,4,1,5,1,1,A3,Z04C16,4C,3A,5/1/2015,NA,1/14/2016,NA
78,A0315,3,A,3A,Muslim,Friends,Friend1,1,3,M,15,NA,7,6,NA,2,7,2,4,1,3,5,6,7,sona,1,1,1,1,1,1,1,2,4,1,1,1,2,1,3,2,6,NA,NA,NA,NA,NA,1,1,1,5,M,Hindu,1,2,2,1,3,1,3,1,1,2,1,7,3,2,NA,NA,NA,NA,NA,4,2,1,5,7,1,7,1,1,0,A3,Z04B14,4B,3A,11/21/2007,NA,1/14/2016,8.153424658
85,A0316,3,A,3A,Hindu,Friends,Friend1,1,1,M,16,NA,1,4,NA,1,4,1,2,4,3,1,2,1,NA,1,2,2,1,1,1,1,1,4,1,1,1,1,1,4,4,4,NA,NA,NA,NA,NA,1,1,2,3,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,A3,Z04B15,4B,3A,8/21/2007,NA,1/14/2016,8.405479452
92,A0318,3,A,3A,Hindu,Friends,Friend1,1,3,M,18,NA,7,2,NA,7,4,6,5,1,3,4,6,8,NA,1,5,2,4,1,3,1,4,4,1,4,3,1,1,2,1,1,NA,NA,NA,NA,NA,3,1,3,3,M,Hindu,1,2,2,1,3,1,3,1,1,2,1,7,3,2,NA,NA,NA,NA,NA,4,2,1,5,7,1,7,1,1,1,A3,Z04B17,4B,3A,2/4/2008,NA,1/14/2016,7.947945205
96,A0319,3,A,3A,Hindu,Friends,Friend1,1,1,M,19,NA,7,NA,NA,7,1,7,7,4,4,7,7,8,NA,1,1,1,1,1,1,1,1,5,1,1,1,1,1,4,5,6,NA,NA,NA,NA,NA,3,1,3,5,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,A3,Z04B18,4B,3A,9/26/2007,NA,1/14/2016,8.306849315
103,A0320,3,A,3A,Hindu,Friends,Friend1,1,17,M,20,NA,7,1,NA,7,1,7,7,4,6,6,7,7,leva,1,4,2,1,1,2,1,1,4,1,1,1,1,1,4,4,6,NA,NA,NA,NA,NA,2,1,3,1,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,A3,Z04B19,4B,3A,1/16/2007,NA,1/14/2016,9
110,A0322,3,A,3A,Hindu,Friends,Friend1,1,4,M,22,NA,7,2,NA,7,NA,NA,7,NA,3,7,2,7,leva,1,2,2,4,1,3,1,1,3,1,5,2,1,3,3,3,3,NA,NA,NA,NA,NA,4,4,5,5,M,Hindu,2,2,4,1,1,1,4,1,1,5,1,3,5,4,NA,NA,NA,NA,NA,1,1,3,3,7,6,7,1,1,1,A3,Z04B21,4B,3A,12/14/2007,NA,1/14/2016,8.090410959
116,A0323,3,A,3A,Hindu,Friends,Friend1,1,1,M,23,NA,7,1,NA,7,1,7,7,2,1,6,4,8,NA,1,3,4,1,1,2,1,1,3,1,1,1,1,1,4,4,6,NA,NA,NA,NA,NA,1,1,2,3,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,A3,Z04B22,4B,3A,5/1/2015,NA,1/14/2016,NA
123,A0324,3,A,3A,Muslim,Friends,Friend1,1,3,M,24,NA,7,2,NA,3,7,7,7,5,6,6,6,7,pathan,1,1,2,1,1,1,1,4,4,2,1,2,2,2,4,4,4,NA,NA,NA,NA,NA,3,1,5,3,M,Hindu,1,2,2,1,3,1,3,1,1,2,1,7,3,2,NA,NA,NA,NA,NA,4,2,1,5,7,1,7,1,1,0,A3,Z04B23,4B,3A,10/5/2007,NA,1/14/2016,8.282191781
130,A0325,3,A,3A,Hindu,Friends,Friend1,1,1,M,25,NA,6,2,NA,6,1,5,4,2,3,7,2,8,NA,1,1,2,1,1,3,1,2,3,2,NA,4,1,2,4,5,6,NA,NA,NA,NA,NA,1,5,3,2,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,A3,NA,NA,3A,NA,NA,1/14/2016,NA
137,A0326,3,A,3A,Hindu,Friends,Friend1,1,1,M,26,NA,4,4,NA,7,4,7,7,7,7,6,6,NA,hindu,1,1,1,1,1,1,1,4,3,1,1,2,1,1,4,4,4,NA,NA,NA,NA,NA,1,1,3,3,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,A3,Z04B24,4B,3A,12/2/2007,NA,1/14/2016,8.123287671
144,A0327,3,A,3A,Hindu,Friends,Friend1,1,3,M,27,NA,7,1,NA,7,1,7,7,1,NA,1,7,8,NA,1,2,1,1,1,1,1,1,4,1,2,1,1,1,7,7,1,NA,NA,NA,NA,NA,1,1,3,3,M,Hindu,1,2,2,1,3,1,3,1,1,2,1,7,3,2,NA,NA,NA,NA,NA,4,2,1,5,7,1,7,1,1,1,A3,Z04B25,4B,3A,4/29/2007,NA,1/14/2016,8.717808219
151,A0328,3,A,3A,Muslim,Friends,Friend1,1,2,M,28,NA,NA,3,NA,1,7,NA,NA,NA,2,6,NA,7,NA,1,1,1,NA,NA,4,1,2,4,1,1,2,2,1,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,Muslim,4,5,1,1,1,4,3,1,1,4,2,2,3,4,NA,NA,NA,NA,NA,1,1,5,5,7,1,1,7,1,1,A3,Z04B26,4B,3A,5/1/2015,NA,1/14/2016,NA
155,A0329,3,A,3A,Muslim,Friends,Friend1,1,2,M,29,NA,7,4,NA,1,6,7,1,4,7,3,2,7,NA,1,3,1,2,1,1,1,2,4,1,1,1,2,1,4,2,1,NA,NA,NA,NA,NA,1,1,3,5,M,Muslim,4,5,1,1,1,4,3,1,1,4,2,2,3,4,NA,NA,NA,NA,NA,1,1,5,5,7,1,1,7,1,1,A3,Z04B27,4B,3A,6/6/2007,NA,1/14/2016,8.6136986301369909
157,A0330,3,A,3A,Hindu,Friends,Friend1,1,6,M,30,NA,7,4,NA,7,2,7,7,5,6,4,4,1,NA,1,1,2,3,1,2,1,1,4,2,2,2,1,1,4,4,4,NA,NA,NA,NA,NA,1,1,5,5,M,Hindu,1,3,1,2,2,1,4,4,5,4,1,4,4,3,NA,NA,NA,NA,NA,3,2,4,1,7,2,7,2,1,1,A3,Z04B28,4B,3A,7/31/2007,NA,1/14/2016,8.463013699
163,A0331,3,A,3A,Hindu,Friends,Friend1,1,2,M,31,NA,7,1,NA,7,1,1,7,5,2,6,1,8,NA,1,2,1,1,1,1,1,1,4,1,1,1,1,1,4,5,2,NA,NA,NA,NA,NA,1,2,1,4,M,Muslim,4,5,1,1,1,4,3,1,1,4,2,2,3,4,NA,NA,NA,NA,NA,1,1,5,5,7,1,1,7,1,0,A3,Z04B30,4B,3A,8/14/2007,NA,1/14/2016,8.424657534
169,A0332,3,A,3A,Hindu,Friends,Friend1,1,3,M,32,NA,7,1,NA,7,1,7,7,4,4,4,4,8,NA,1,1,1,1,1,1,1,4,4,1,1,1,1,1,4,1,1,NA,NA,NA,NA,NA,1,1,5,3,M,Hindu,1,2,2,1,3,1,3,1,1,2,1,7,3,2,NA,NA,NA,NA,NA,4,2,1,5,7,1,7,1,1,1,A3,Z04B31,4B,3A,2/19/2008,NA,1/14/2016,7.906849315
176,A0333,3,A,3A,Muslim,Friends,Friend1,1,2,M,33,NA,7,1,NA,1,7,7,7,1,1,7,5,NA,shaiyar,1,1,1,1,1,1,1,4,1,1,1,1,2,1,4,1,4,NA,NA,NA,NA,NA,1,1,1,1,M,Muslim,4,5,1,1,1,4,3,1,1,4,2,2,3,4,NA,NA,NA,NA,NA,1,1,5,5,7,1,1,7,1,1,A3,Z04B33,4B,3A,9/3/2007,NA,1/14/2016,8.369863014
183,A0334,3,A,3A,Muslim,Friends,Friend1,1,10,M,34,NA,7,1,NA,1,7,7,7,1,7,7,1,8,NA,1,1,1,3,1,1,1,4,1,1,1,1,2,1,4,1,4,NA,NA,NA,NA,NA,1,1,3,1,M,Muslim,2,1,1,1,1,1,2,5,5,5,NA,4,1,7,NA,NA,NA,NA,NA,1,5,1,3,6,7,3,1,1,1,A3,Z04B34,4B,3A,6/26/2007,NA,1/14/2016,8.55890411
188,A0335,3,A,3A,Muslim,Friends,Friend1,1,10,M,35,NA,7,1,NA,1,7,7,6,1,3,4,7,7,solanki,1,1,3,2,1,1,2,1,2,2,3,2,2,2,4,1,5,NA,NA,NA,NA,NA,5,5,3,1,M,Muslim,2,1,1,1,1,1,2,5,5,5,NA,4,1,7,NA,NA,NA,NA,NA,1,5,1,3,6,7,3,1,1,1,A3,Z04B35,4B,3A,1/21/2008,NA,1/14/2016,7.98630137
191,A0336,3,A,3A,Hindu,Friends,Friend1,1,1,M,36,NA,7,1,NA,7,1,NA,7,4,4,4,4,8,NA,1,1,3,1,1,3,3,1,4,1,1,3,1,1,4,4,4,NA,NA,NA,NA,NA,1,1,5,3,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,A3,Z04B37,4B,3A,3/17/2007,NA,1/14/2016,8.835616438
197,A0337,3,A,3A,Muslim,Friends,Friend1,1,10,M,37,NA,2,7,NA,2,7,7,5,2,2,1,6,7,NA,1,1,2,2,1,1,1,2,4,2,1,2,2,1,4,1,2,NA,NA,NA,NA,NA,1,1,5,3,M,Muslim,2,1,1,1,1,1,2,5,5,5,NA,4,1,7,NA,NA,NA,NA,NA,1,5,1,3,6,7,3,1,1,1,A3,Z04B38,4B,3A,4/1/2007,NA,1/14/2016,8.794520548
200,A0338,3,A,3A,Hindu,Friends,Friend1,1,49,F,38,NA,4,7,NA,7,3,NA,7,NA,4,7,7,8,NA,2,1,1,1,1,1,1,1,4,1,5,2,1,1,4,1,1,NA,NA,NA,NA,NA,1,1,3,5,F,other,2,1,2,1,1,1,4,1,1,1,1,4,4,4,NA,NA,NA,NA,NA,1,1,5,5,1,7,5,1,1,0,A3,Z04B41,4B,3A,12/20/2007,NA,1/14/2016,8.073972603
207,A0339,3,A,3A,Hindu,Friends,Friend1,1,38,F,39,NA,7,7,NA,7,6,NA,7,6,6,5,5,1,NA,2,1,1,2,1,2,1,1,3,1,3,2,1,1,4,4,4,NA,NA,NA,NA,NA,1,1,2,5,F,Hindu,1,1,1,1,1,1,4,1,5,2,1,4,1,1,NA,NA,NA,NA,NA,1,1,3,5,4,7,7,3,1,1,A3,Z04B42,4B,3A,12/8/2007,NA,1/14/2016,8.106849315
214,A0340,3,A,3A,Muslim,Friends,Friend1,1,39,F,40,NA,1,7,NA,1,7,4,4,1,1,4,6,7,vohra,2,1,2,1,1,1,1,1,2,2,5,2,2,2,2,3,2,NA,NA,NA,NA,NA,2,1,3,5,F,Hindu,1,1,2,1,2,1,3,1,3,2,1,4,4,4,NA,NA,NA,NA,NA,1,1,2,5,7,7,7,6,1,0,A3,Z04B43,4B,3A,12/12/2007,NA,1/14/2016,8.095890411
217,A0341,3,A,3A,Hindu,Friends,Friend1,1,7,F,41,NA,4,7,NA,7,4,4,7,NA,3,4,4,8,NA,2,2,NA,3,1,1,1,1,4,1,1,2,1,1,4,4,4,NA,NA,NA,NA,NA,1,1,5,3,M,Hindu,1,2,3,1,1,1,4,1,1,1,1,2,1,1,NA,NA,NA,NA,NA,2,1,2,4,7,3,7,4,0,1,A3,Z04B44,4B,3A,9/2/2007,NA,1/14/2016,8.37260274
220,A0342,3,A,3A,Muslim,Friends,Friend1,1,43,F,42,NA,1,6,NA,2,7,2,6,3,NA,1,5,7,don't know,2,2,3,2,1,3,2,2,4,1,1,3,2,1,4,5,5,NA,NA,NA,NA,NA,1,5,NA,NA,F,Muslim,1,2,1,1,1,1,NA,NA,1,NA,1,4,1,7,NA,NA,NA,NA,NA,1,2,5,5,1,7,1,7,1,1,A3,Z04B45,4B,3A,2/18/2008,NA,1/14/2016,7.909589041
224,A0343,3,A,3A,Muslim,Friends,Friend1,1,42,F,43,NA,1,7,NA,1,7,7,7,2,2,4,5,7,NA,2,1,2,1,1,1,1,4,NA,NA,1,NA,2,1,4,1,7,NA,NA,NA,NA,NA,1,2,5,5,F,Muslim,2,3,2,1,3,2,4,1,1,3,1,4,5,5,NA,NA,NA,NA,NA,1,5,NA,NA,1,6,2,7,1,1,A3,Z04B46,4B,3A,3/7/2007,NA,1/14/2016,8.863013699
228,A0344,3,A,3A,Muslim,Friends,Friend1,1,40,F,44,NA,1,6,NA,5,7,NA,4,4,6,4,1,7,NA,2,NA,1,2,NA,3,1,2,3,2,1,3,2,1,2,1,4,NA,NA,NA,NA,NA,5,5,3,3,F,Muslim,1,2,1,1,1,1,2,2,5,2,2,2,3,2,NA,NA,NA,NA,NA,2,1,3,5,1,7,1,7,1,1,A3,Z04B48,4B,3A,8/29/2007,NA,1/14/2016,8.383561644
235,A0346,3,A,3A,Muslim,Friends,Friend1,1,19,F,46,NA,2,6,NA,1,7,7,7,3,5,4,4,7,muslim,2,5,4,3,1,2,1,NA,4,1,1,1,2,1,4,4,4,NA,NA,NA,NA,NA,1,1,4,5,M,Hindu,1,1,1,1,1,1,5,1,1,1,1,4,5,6,NA,NA,NA,NA,NA,3,1,3,5,7,NA,7,1,0,0,A3,NA,NA,3A,NA,NA,1/14/2016,NA
242,A0347,3,A,3A,Hindu,Friends,Friend1,1,38,F,47,NA,5,6,NA,7,5,7,7,5,4,4,5,1,NA,2,1,2,2,1,1,1,4,4,1,3,2,1,1,4,3,2,NA,NA,NA,NA,NA,1,1,2,3,F,Hindu,1,1,1,1,1,1,4,1,5,2,1,4,1,1,NA,NA,NA,NA,NA,1,1,3,5,4,7,7,3,1,1,A3,Z04B50,4B,3A,5/11/2007,NA,1/14/2016,8.684931507
249,A0348,3,A,3A,Muslim,Friends,Friend1,1,42,F,48,NA,1,7,NA,1,7,7,6,2,4,5,3,7,shuny,2,1,3,3,1,2,1,2,4,2,1,4,2,1,4,4,4,NA,NA,NA,NA,NA,3,1,5,2,F,Muslim,2,3,2,1,3,2,4,1,1,3,1,4,5,5,NA,NA,NA,NA,NA,1,5,NA,NA,1,6,2,7,1,1,A3,Z04B51,4B,3A,11/6/2007,NA,1/14/2016,8.194520548
253,A0349,3,A,3A,other,Friends,Friend1,1,38,F,49,NA,1,7,NA,5,1,7,7,1,6,4,4,7,shick,2,2,1,2,1,1,1,4,4,1,1,1,3,1,4,4,4,NA,NA,NA,NA,NA,1,1,5,5,F,Hindu,1,1,1,1,1,1,4,1,5,2,1,4,1,1,NA,NA,NA,NA,NA,1,1,3,5,4,7,7,3,1,0,A3,Z04B52,4B,3A,6/29/2007,NA,1/14/2016,8.550684932
260,A0351,3,A,3A,Muslim,Friends,Friend1,1,42,F,51,NA,1,7,NA,1,7,7,7,3,1,1,5,7,sunny,2,3,1,2,2,2,1,4,4,1,1,1,2,1,4,7,7,NA,NA,NA,NA,NA,1,1,4,2,F,Muslim,2,3,2,1,3,2,4,1,1,3,1,4,5,5,NA,NA,NA,NA,NA,1,5,NA,NA,1,6,2,7,1,1,A3,Z04B54,4B,3A,10/6/2007,NA,1/14/2016,8.279452055
265,A0352,3,A,3A,Hindu,Friends,Friend1,1,47,F,52,NA,1,7,NA,7,1,4,6,1,5,5,7,1,NA,2,1,2,3,1,1,1,1,3,1,2,1,1,1,4,3,2,NA,NA,NA,NA,NA,3,1,3,2,F,Hindu,1,2,2,1,1,1,4,1,3,2,1,4,3,2,NA,NA,NA,NA,NA,1,1,2,3,5,6,7,5,1,1,A3,Z04B55,4B,3A,12/14/2007,NA,1/14/2016,8.090410959
272,A0353,3,A,3A,Hindu,Friends,Friend1,1,38,F,53,NA,1,7,NA,7,1,7,7,2,2,4,7,8,8,2,1,1,1,1,1,1,1,4,1,5,3,1,1,2,3,2,NA,NA,NA,NA,NA,1,2,3,4,F,Hindu,1,1,1,1,1,1,4,1,5,2,1,4,1,1,NA,NA,NA,NA,NA,1,1,3,5,4,7,7,3,1,1,A3,NA,NA,3A,NA,NA,1/14/2016,NA
278,A0354,3,A,3A,Hindu,Friends,Friend1,1,38,F,54,NA,1,7,NA,7,1,7,7,1,7,1,4,3,NA,2,1,1,2,1,1,1,1,3,1,1,2,1,1,2,1,1,NA,NA,NA,NA,NA,2,1,3,2,F,Hindu,1,1,1,1,1,1,4,1,5,2,1,4,1,1,NA,NA,NA,NA,NA,1,1,3,5,4,7,7,3,1,1,A3,Z04B56,4B,3A,9/11/2007,NA,1/14/2016,8.347945205
285,A0356,3,A,3A,Hindu,Friends,Friend1,1,38,F,56,NA,7,7,NA,7,4,7,6,4,4,7,6,8,NA,2,2,3,1,1,1,1,4,4,NA,3,NA,1,1,4,3,2,NA,NA,NA,NA,NA,3,3,2,3,F,Hindu,1,1,1,1,1,1,4,1,5,2,1,4,1,1,NA,NA,NA,NA,NA,1,1,3,5,4,7,7,3,1,1,A3,Z04B59,4B,3A,6/6/2008,NA,1/14/2016,7.610958904
292,A0357,3,A,3A,Hindu,Friends,Friend1,1,41,F,57,NA,6,5,NA,7,6,7,7,6,3,7,5,8,NA,2,1,3,2,4,1,1,3,5,1,1,5,1,1,4,4,2,NA,NA,NA,NA,NA,2,5,1,3,F,Hindu,2,NA,3,1,1,1,4,1,1,2,1,4,4,4,NA,NA,NA,NA,NA,1,1,5,3,4,7,7,4,1,1,A3,NA,NA,3A,NA,NA,1/14/2016,NA
299,A0358,3,A,3A,Hindu,Friends,Friend1,1,38,F,58,NA,5,7,NA,7,1,7,7,2,3,6,7,8,NA,2,2,3,2,1,2,1,1,3,1,2,2,1,1,7,4,2,NA,NA,NA,NA,NA,4,2,3,5,F,Hindu,1,1,1,1,1,1,4,1,5,2,1,4,1,1,NA,NA,NA,NA,NA,1,1,3,5,4,7,7,3,1,1,A3,Z04B61,4B,3A,5/1/2005,NA,1/14/2016,10.71232877
306,A0359,3,A,3A,Muslim,Friends,Friend1,1,42,F,59,NA,3,7,NA,2,7,7,7,2,3,NA,4,7,muslim,2,2,1,2,1,1,1,2,4,2,1,2,2,2,4,4,4,NA,NA,NA,NA,NA,1,1,3,5,F,Muslim,2,3,2,1,3,2,4,1,1,3,1,4,5,5,NA,NA,NA,NA,NA,1,5,NA,NA,1,6,2,7,1,1,A3,Z04B62,4B,3A,8/6/2007,NA,1/14/2016,8.446575342
308,A0360,3,A,3A,Hindu,Friends,Friend1,1,38,F,60,NA,2,6,NA,6,2,6,5,2,3,2,7,8,NA,2,5,2,NA,1,4,1,1,4,1,3,2,1,2,4,2,2,NA,NA,NA,NA,NA,3,1,3,5,F,Hindu,1,1,1,1,1,1,4,1,5,2,1,4,1,1,NA,NA,NA,NA,NA,1,1,3,5,4,7,7,3,1,1,A3,Z04B63,4B,3A,12/14/2007,NA,1/14/2016,8.090410959
314,A0361,3,A,3A,Hindu,Friends,Friend1,1,3,F,61,NA,6,7,NA,7,4,7,6,4,4,6,5,8,NA,2,1,1,1,1,1,1,1,4,1,1,1,1,1,7,4,4,NA,NA,NA,NA,NA,1,1,5,5,M,Hindu,1,2,2,1,3,1,3,1,1,2,1,7,3,2,NA,NA,NA,NA,NA,4,2,1,5,7,1,7,1,0,1,A3,Z04B64,4B,3A,5/28/2007,NA,1/14/2016,8.638356164
321,A0362,3,A,3A,Hindu,Friends,Friend1,1,27,F,62,NA,7,7,NA,7,1,7,7,7,2,1,7,8,NA,2,2,4,1,1,1,1,2,4,4,4,4,1,1,7,7,1,NA,NA,NA,NA,NA,1,1,3,3,M,Hindu,2,1,1,1,1,1,4,1,2,1,1,7,7,1,NA,NA,NA,NA,NA,1,1,3,3,7,1,7,1,0,1,A3,Z04B65,4B,3A,9/14/2007,NA,1/14/2016,8.339726027
